timestamp,speed,obstacle_distance
0.0,15.0,42.0
1.0,15.16,41.92
2.0,15.26,41.78
3.0,15.32,41.63
4.0,15.38,41.49
5.0,15.43,41.36
6.0,15.47,41.24
7.0,15.51,41.12
8.0,15.54,41.02
9.0,15.57,40.92
10.0,15.58,40.82
11.0,15.59,40.73
12.0,15.59,40.64
13.0,15.58,40.55
14.0,15.56,40.46
15.0,15.53,40.37
16.0,15.49,40.28
17.0,15.44,40.2
18.0,15.38,40.11
19.0,15.32,40.03
20.0,15.25,39.96
21.0,15.17,39.89
22.0,15.1,39.82
23.0,15.02,39.76
24.0,14.94,39.71
25.0,14.86,39.67
26.0,14.79,39.63
27.0,14.72,39.6
28.0,14.66,39.59
29.0,14.6,39.58
30.0,14.55,39.58
31.0,14.51,39.59
32.0,14.49,39.61
33.0,14.47,39.64
34.0,14.46,39.68
35.0,14.46,39.72
36.0,14.48,39.77
37.0,14.5,39.83
38.0,14.54,39.88
39.0,14.58,39.94
40.0,14.64,40.01
41.0,14.7,40.07
42.0,14.77,40.13
43.0,14.84,40.19
44.0,14.91,40.24
45.0,14.99,40.29
46.0,15.07,40.34
47.0,15.14,40.38
48.0,15.22,40.4
49.0,15.28,40.43
50.0,15.35,40.44
51.0,15.4,40.44
52.0,15.45,40.44
53.0,15.49,40.42
54.0,15.52,40.4
55.0,15.53,40.37
56.0,15.54,40.33
57.0,15.54,40.29
58.0,15.52,40.24
59.0,15.5,40.18
60.0,15.46,40.12
61.0,15.42,40.06
62.0,15.36,40.0
63.0,15.3,39.93
64.0,15.23,39.87
65.0,15.16,39.81
66.0,15.09,39.76
67.0,15.01,39.71
68.0,14.93,39.66
69.0,14.86,39.63
70.0,14.78,39.6
71.0,14.72,39.57
72.0,14.65,39.56
73.0,14.6,39.56
74.0,14.55,39.56
75.0,14.51,39.58
76.0,14.48,39.6
77.0,14.47,39.63
78.0,14.46,39.67
79.0,14.46,39.71
80.0,14.48,39.77
81.0,14.5,39.82
82.0,14.54,39.88
83.0,14.58,39.94
84.0,14.64,40.0
85.0,14.7,40.07
86.0,14.77,40.13
87.0,14.84,40.19
88.0,14.91,40.24
89.0,14.99,40.29
90.0,15.07,40.34
91.0,15.14,40.37
92.0,15.22,40.4
93.0,15.29,40.43
94.0,15.35,40.44
95.0,15.4,40.44
96.0,15.45,40.44
97.0,15.49,40.42
98.0,15.52,40.4
99.0,15.54,40.37
100.0,15.54,40.33
101.0,15.54,40.29
102.0,15.52,40.23
103.0,15.5,40.18
104.0,15.46,40.12
105.0,15.42,40.06
106.0,15.36,39.99
107.0,15.3,39.93
108.0,15.23,39.87
109.0,15.16,39.81
110.0,15.09,39.76
111.0,15.01,39.71
112.0,14.93,39.66
113.0,14.86,39.63
114.0,14.78,39.6
115.0,14.71,39.57
116.0,14.61,39.91
117.0,14.51,38.75
118.0,14.41,36.08
119.0,14.31,31.92
120.0,14.21,26.25
121.0,8.41,21.94
122.0,2.61,21.83
